idx2,Cluster
32,1
45,1
54,1
65,1
76,1
84,1
99,1
101,1
103,1
105,1
193,1
195,1
196,1
197,1
199,1
201,1
203,1
204,1
205,1
207,1
209,1
210,1
211,1
213,1
214,1
215,1
217,1
220,1
221,1
222,1
225,1
226,1
227,1
228,1
229,1
230,1
235,1
237,1
238,1
240,1
242,1
243,1
247,1
248,1
250,1
252,1
253,1
254,1
260,1
263,1
264,1
268,1
269,1
271,1
272,1
273,1
278,1
282,1
283,1
284,1
285,1
286,1
288,1
289,1
290,1
292,1
293,1
294,1
295,1
296,1
298,1
300,1
301,1
302,1
304,1
306,1
307,1
309,1
310,1
311,1
312,1
313,1
314,1
374,1
387,1
389,1
393,1
398,1
399,1
463,1
464,1
468,1
469,1
472,1
473,1
474,1
475,1
477,1
480,1
481,1
483,1
484,1
485,1
488,1
490,1
492,1
493,1
497,1
502,1
503,1
508,1
509,1
510,1
511,1
513,1
515,1
524,1
533,1
538,1
539,1
541,1
543,1
544,1
545,1
547,1
548,1
549,1
550,1
554,1
556,1
559,1
560,1
561,1
566,1
570,1
571,1
713,1
721,1
722,1
723,1
724,1
732,1
733,1
734,1
736,1
737,1
739,1
750,1
752,1
755,1
757,1
758,1
769,1
771,1
773,1
774,1
783,1
792,1
809,1
851,1
853,1
855,1
861,1
877,1
925,1
961,1
981,1
1069,1
1075,1
1076,1
1078,1
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
814,2
815,2
817,2
818,2
820,2
821,2
822,2
823,2
825,2
826,2
827,2
1001,2
1004,2
1006,2
1008,2
1009,2
1011,2
1012,2
1014,2
1015,2
1018,2
1019,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,2
1034,2
1035,2
1037,2
1038,2
1039,2
1040,2
1083,3
1086,4
0,5
68,5
95,5
224,5
258,5
392,5
466,5
471,5
476,5
495,5
542,5
552,5
711,5
735,5
738,5
780,5
798,5
800,5
465,6
716,7
727,7
742,7
747,7
751,7
753,7
760,7
767,7
772,7
119,8
377,8
572,8
574,8
575,8
576,8
577,8
578,8
579,8
580,8
582,8
583,8
585,8
586,8
588,8
589,8
590,8
591,8
592,8
593,8
594,8
595,8
596,8
597,8
598,8
599,8
601,8
639,8
642,8
1007,8
1070,9
1071,9
1072,9
1077,9
1079,9
1080,9
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
25,10
26,10
27,10
28,10
29,10
30,10
33,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
66,10
67,10
69,10
72,10
75,10
77,10
78,10
82,10
83,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
94,10
97,10
98,10
100,10
102,10
106,10
107,10
109,10
110,10
111,10
113,10
114,10
115,10
116,10
117,10
118,10
120,10
121,10
122,10
125,10
165,10
184,10
194,10
198,10
200,10
202,10
206,10
208,10
212,10
216,10
218,10
223,10
231,10
232,10
233,10
234,10
236,10
239,10
241,10
244,10
245,10
246,10
249,10
251,10
255,10
256,10
257,10
259,10
261,10
262,10
265,10
267,10
270,10
274,10
275,10
277,10
279,10
280,10
281,10
287,10
291,10
297,10
299,10
303,10
305,10
308,10
315,10
316,10
317,10
318,10
319,10
320,10
321,10
322,10
324,10
325,10
326,10
327,10
328,10
329,10
330,10
331,10
332,10
333,10
334,10
335,10
336,10
337,10
338,10
339,10
340,10
341,10
342,10
348,10
349,10
355,10
359,10
360,10
361,10
362,10
363,10
364,10
365,10
366,10
367,10
368,10
369,10
370,10
373,10
375,10
376,10
378,10
379,10
380,10
381,10
382,10
385,10
388,10
390,10
391,10
394,10
395,10
396,10
400,10
413,10
416,10
419,10
420,10
421,10
457,10
458,10
459,10
460,10
461,10
462,10
467,10
470,10
478,10
479,10
482,10
486,10
487,10
489,10
494,10
498,10
499,10
500,10
501,10
504,10
505,10
506,10
507,10
516,10
517,10
518,10
519,10
520,10
521,10
522,10
526,10
527,10
528,10
529,10
530,10
532,10
534,10
535,10
536,10
537,10
540,10
546,10
551,10
553,10
557,10
558,10
562,10
563,10
564,10
565,10
567,10
568,10
569,10
584,10
628,10
644,10
650,10
657,10
687,10
689,10
691,10
698,10
699,10
708,10
712,10
714,10
715,10
717,10
718,10
719,10
720,10
725,10
726,10
728,10
729,10
730,10
731,10
740,10
741,10
743,10
744,10
745,10
746,10
748,10
754,10
756,10
759,10
761,10
762,10
763,10
764,10
765,10
766,10
768,10
770,10
776,10
777,10
778,10
779,10
781,10
782,10
784,10
785,10
786,10
787,10
788,10
790,10
791,10
793,10
794,10
795,10
796,10
797,10
799,10
801,10
803,10
804,10
805,10
807,10
808,10
810,10
812,10
813,10
816,10
819,10
824,10
828,10
829,10
830,10
831,10
832,10
833,10
834,10
835,10
836,10
837,10
838,10
839,10
840,10
841,10
842,10
843,10
844,10
845,10
846,10
848,10
849,10
854,10
856,10
857,10
858,10
859,10
862,10
863,10
864,10
865,10
866,10
867,10
868,10
869,10
870,10
871,10
872,10
873,10
874,10
875,10
878,10
879,10
880,10
881,10
882,10
883,10
884,10
885,10
886,10
887,10
888,10
889,10
890,10
891,10
892,10
893,10
894,10
895,10
896,10
897,10
899,10
900,10
901,10
902,10
903,10
908,10
909,10
910,10
911,10
912,10
913,10
914,10
915,10
916,10
917,10
918,10
919,10
920,10
921,10
922,10
923,10
924,10
926,10
927,10
954,10
955,10
956,10
958,10
960,10
963,10
964,10
967,10
968,10
970,10
972,10
974,10
976,10
978,10
980,10
984,10
986,10
989,10
990,10
991,10
993,10
995,10
999,10
1000,10
1002,10
1003,10
1005,10
1010,10
1013,10
1016,10
1017,10
1026,10
1033,10
1036,10
1051,10
1053,10
1060,10
1062,10
1064,10
1084,10
1085,10
1087,10
1090,10
1091,10
1092,10
12,11
13,11
24,11
31,11
34,11
35,11
44,11
70,11
71,11
73,11
74,11
79,11
80,11
81,11
93,11
96,11
104,11
108,11
112,11
123,11
124,11
126,11
127,11
128,11
129,11
130,11
131,11
132,11
133,11
134,11
135,11
136,11
137,11
138,11
139,11
140,11
141,11
142,11
143,11
144,11
145,11
146,11
147,11
148,11
149,11
150,11
151,11
152,11
153,11
154,11
155,11
156,11
157,11
158,11
159,11
160,11
161,11
162,11
163,11
164,11
166,11
167,11
168,11
169,11
170,11
171,11
172,11
173,11
174,11
175,11
176,11
177,11
178,11
179,11
180,11
181,11
182,11
183,11
185,11
186,11
187,11
188,11
189,11
190,11
191,11
192,11
219,11
266,11
276,11
323,11
343,11
344,11
345,11
346,11
347,11
350,11
351,11
352,11
353,11
354,11
356,11
357,11
371,11
372,11
383,11
384,11
386,11
397,11
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,11
409,11
410,11
411,11
412,11
414,11
415,11
417,11
418,11
422,11
423,11
424,11
425,11
426,11
427,11
428,11
429,11
430,11
431,11
432,11
433,11
434,11
435,11
436,11
437,11
438,11
439,11
440,11
441,11
442,11
443,11
444,11
445,11
446,11
447,11
448,11
449,11
450,11
451,11
452,11
453,11
454,11
455,11
456,11
491,11
496,11
512,11
514,11
523,11
525,11
531,11
555,11
573,11
581,11
587,11
600,11
638,11
640,11
641,11
643,11
645,11
646,11
647,11
648,11
649,11
651,11
652,11
653,11
654,11
655,11
656,11
658,11
659,11
660,11
661,11
662,11
663,11
664,11
665,11
666,11
667,11
668,11
669,11
670,11
671,11
672,11
673,11
674,11
675,11
676,11
677,11
678,11
679,11
680,11
681,11
682,11
683,11
684,11
685,11
686,11
688,11
690,11
692,11
693,11
694,11
695,11
696,11
697,11
700,11
701,11
702,11
703,11
704,11
705,11
706,11
707,11
709,11
710,11
749,11
775,11
789,11
802,11
806,11
811,11
847,11
850,11
852,11
860,11
876,11
898,11
904,11
905,11
906,11
907,11
928,11
929,11
930,11
931,11
932,11
933,11
934,11
935,11
936,11
937,11
938,11
939,11
940,11
941,11
942,11
943,11
944,11
945,11
946,11
947,11
948,11
949,11
950,11
951,11
952,11
953,11
957,11
959,11
962,11
965,11
966,11
969,11
971,11
973,11
975,11
977,11
979,11
982,11
983,11
985,11
987,11
988,11
992,11
994,11
996,11
997,11
998,11
1041,11
1042,11
1043,11
1044,11
1045,11
1046,11
1047,11
1048,11
1049,11
1050,11
1052,11
1054,11
1055,11
1056,11
1057,11
1058,11
1059,11
1061,11
1063,11
1065,11
1066,11
1067,11
1068,11
1073,11
1074,11
1081,11
1082,11
1088,11
1089,11
1094,11
1098,11
1099,11
1100,11
1101,11
1102,11
1103,11
358,12
1093,12
1095,12
1096,12
1097,13
